"key","en","de","es","fr","it","pt-br","ja","ko","zh-hans","zh-hant"
"nav.cast","Cast","Cast","Cast","Cast","Cast","Cast","Cast","Cast","Cast","Cast"
"nav.press_kit","Press Kit","Press Kit","Press Kit","Press Kit","Press Kit","Press Kit","Press Kit","Press Kit","Press Kit","Press Kit"
"home.reviews.title","Critics Are Loving Sushi Ben","Critics Are Loving Sushi Ben","Critics Are Loving Sushi Ben","Critics Are Loving Sushi Ben","Critics Are Loving Sushi Ben","Critics Are Loving Sushi Ben","Critics Are Loving Sushi Ben","Critics Are Loving Sushi Ben","Critics Are Loving Sushi Ben","Critics Are Loving Sushi Ben"
"home.reviews.quote1","One of the most visually distinctive VR adventures in recent memory.","One of the most visually distinctive VR adventures in recent memory.","One of the most visually distinctive VR adventures in recent memory.","One of the most visually distinctive VR adventures in recent memory.","One of the most visually distinctive VR adventures in recent memory.","One of the most visually distinctive VR adventures in recent memory.","One of the most visually distinctive VR adventures in recent memory.","One of the most visually distinctive VR adventures in recent memory.","One of the most visually distinctive VR adventures in recent memory.","One of the most visually distinctive VR adventures in recent memory."
"home.reviews.source1","UploadVR","UploadVR","UploadVR","UploadVR","UploadVR","UploadVR","UploadVR","UploadVR","UploadVR","UploadVR"
"home.reviews.quote2","Unbelievably vibrant and charming... with a creative cast of characters and lovely vibes.","Unbelievably vibrant and charming... with a creative cast of characters and lovely vibes.","Unbelievably vibrant and charming... with a creative cast of characters and lovely vibes.","Unbelievably vibrant and charming... with a creative cast of characters and lovely vibes.","Unbelievably vibrant and charming... with a creative cast of characters and lovely vibes.","Unbelievably vibrant and charming... with a creative cast of characters and lovely vibes.","Unbelievably vibrant and charming... with a creative cast of characters and lovely vibes.","Unbelievably vibrant and charming... with a creative cast of characters and lovely vibes.","Unbelievably vibrant and charming... with a creative cast of characters and lovely vibes.","Unbelievably vibrant and charming... with a creative cast of characters and lovely vibes."
"home.reviews.source2","Checkpoint Gaming","Checkpoint Gaming","Checkpoint Gaming","Checkpoint Gaming","Checkpoint Gaming","Checkpoint Gaming","Checkpoint Gaming","Checkpoint Gaming","Checkpoint Gaming","Checkpoint Gaming"
"home.reviews.quote3","Quirky, whimsical, and incredibly vibrant... with colorful, unforgettable characters.","Quirky, whimsical, and incredibly vibrant... with colorful, unforgettable characters.","Quirky, whimsical, and incredibly vibrant... with colorful, unforgettable characters.","Quirky, whimsical, and incredibly vibrant... with colorful, unforgettable characters.","Quirky, whimsical, and incredibly vibrant... with colorful, unforgettable characters.","Quirky, whimsical, and incredibly vibrant... with colorful, unforgettable characters.","Quirky, whimsical, and incredibly vibrant... with colorful, unforgettable characters.","Quirky, whimsical, and incredibly vibrant... with colorful, unforgettable characters.","Quirky, whimsical, and incredibly vibrant... with colorful, unforgettable characters.","Quirky, whimsical, and incredibly vibrant... with colorful, unforgettable characters."
"home.reviews.source3","Game8","Game8","Game8","Game8","Game8","Game8","Game8","Game8","Game8","Game8"
"home.reviews.quote4","'Sushi Ben', without a doubt, is my favorite VR experience... it's charming and in a class of its own.","'Sushi Ben', without a doubt, is my favorite VR experience... it's charming and in a class of its own.","'Sushi Ben', without a doubt, is my favorite VR experience... it's charming and in a class of its own.","'Sushi Ben', without a doubt, is my favorite VR experience... it's charming and in a class of its own.","'Sushi Ben', without a doubt, is my favorite VR experience... it's charming and in a class of its own.","'Sushi Ben', without a doubt, is my favorite VR experience... it's charming and in a class of its own.","'Sushi Ben', without a doubt, is my favorite VR experience... it's charming and in a class of its own.","'Sushi Ben', without a doubt, is my favorite VR experience... it's charming and in a class of its own.","'Sushi Ben', without a doubt, is my favorite VR experience... it's charming and in a class of its own.","'Sushi Ben', without a doubt, is my favorite VR experience... it's charming and in a class of its own."
"home.reviews.source4","VICE","VICE","VICE","VICE","VICE","VICE","VICE","VICE","VICE","VICE"
"home.final_cta.title","Ready to save the sushi bar? Jump in now!","Ready to save the sushi bar? Jump in now!","Ready to save the sushi bar? Jump in now!","Ready to save the sushi bar? Jump in now!","Ready to save the sushi bar? Jump in now!","Ready to save the sushi bar? Jump in now!","Ready to save the sushi bar? Jump in now!","Ready to save the sushi bar? Jump in now!","Ready to save the sushi bar? Jump in now!","Ready to save the sushi bar? Jump in now!"
"home.final_cta.body","Ready to save the sushi bar? Jump in now or watch the trailer first.","Ready to save the sushi bar? Jump in now or watch the trailer first.","Ready to save the sushi bar? Jump in now or watch the trailer first.","Ready to save the sushi bar? Jump in now or watch the trailer first.","Ready to save the sushi bar? Jump in now or watch the trailer first.","Ready to save the sushi bar? Jump in now or watch the trailer first.","Ready to save the sushi bar? Jump in now or watch the trailer first.","Ready to save the sushi bar? Jump in now or watch the trailer first.","Ready to save the sushi bar? Jump in now or watch the trailer first.","Ready to save the sushi bar? Jump in now or watch the trailer first."
"home.final_cta.buy","Play Sushi Ben","Play Sushi Ben","Play Sushi Ben","Play Sushi Ben","Play Sushi Ben","Play Sushi Ben","Play Sushi Ben","Play Sushi Ben","Play Sushi Ben","Play Sushi Ben"
"home.final_cta.watch","Watch Trailer","Watch Trailer","Watch Trailer","Watch Trailer","Watch Trailer","Watch Trailer","Watch Trailer","Watch Trailer","Watch Trailer","Watch Trailer"
"page.team.title","Meet the Team","Meet the Team","Meet the Team","Meet the Team","Meet the Team","Meet the Team","Meet the Team","Meet the Team","Meet the Team","Meet the Team"
"page.team.description","Meet the team behind Sushi Ben.","Meet the team behind Sushi Ben.","Meet the team behind Sushi Ben.","Meet the team behind Sushi Ben.","Meet the team behind Sushi Ben.","Meet the team behind Sushi Ben.","Meet the team behind Sushi Ben.","Meet the team behind Sushi Ben.","Meet the team behind Sushi Ben.","Meet the team behind Sushi Ben."
"page.team.stub_body","Team page coming soon.","Team page coming soon.","Team page coming soon.","Team page coming soon.","Team page coming soon.","Team page coming soon.","Team page coming soon.","Team page coming soon.","Team page coming soon.","Team page coming soon."
"page.cast.title","Cast","Cast","Cast","Cast","Cast","Cast","Cast","Cast","Cast","Cast"
"page.cast.description","Meet the cast of Sushi Ben.","Meet the cast of Sushi Ben.","Meet the cast of Sushi Ben.","Meet the cast of Sushi Ben.","Meet the cast of Sushi Ben.","Meet the cast of Sushi Ben.","Meet the cast of Sushi Ben.","Meet the cast of Sushi Ben.","Meet the cast of Sushi Ben.","Meet the cast of Sushi Ben."
"page.cast.stub_body","Cast page coming soon.","Cast page coming soon.","Cast page coming soon.","Cast page coming soon.","Cast page coming soon.","Cast page coming soon.","Cast page coming soon.","Cast page coming soon.","Cast page coming soon.","Cast page coming soon."
"page.press-kit.title","Press Kit","Press Kit","Press Kit","Press Kit","Press Kit","Press Kit","Press Kit","Press Kit","Press Kit","Press Kit"
"page.press-kit.description","Download press resources for Sushi Ben.","Download press resources for Sushi Ben.","Download press resources for Sushi Ben.","Download press resources for Sushi Ben.","Download press resources for Sushi Ben.","Download press resources for Sushi Ben.","Download press resources for Sushi Ben.","Download press resources for Sushi Ben.","Download press resources for Sushi Ben.","Download press resources for Sushi Ben."
"page.press-kit.stub_body","Press kit page coming soon.","Press kit page coming soon.","Press kit page coming soon.","Press kit page coming soon.","Press kit page coming soon.","Press kit page coming soon.","Press kit page coming soon.","Press kit page coming soon.","Press kit page coming soon.","Press kit page coming soon."
"home.reviews.url1","https://www.uploadvr.com/sushi-ben-review/","https://www.uploadvr.com/sushi-ben-review/","https://www.uploadvr.com/sushi-ben-review/","https://www.uploadvr.com/sushi-ben-review/","https://www.uploadvr.com/sushi-ben-review/","https://www.uploadvr.com/sushi-ben-review/","https://www.uploadvr.com/sushi-ben-review/","https://www.uploadvr.com/sushi-ben-review/","https://www.uploadvr.com/sushi-ben-review/","https://www.uploadvr.com/sushi-ben-review/"
"home.reviews.url2","https://checkpointgaming.net/reviews/2025/09/sushi-ben-review-an-uneven-slice-of-life-port/","https://checkpointgaming.net/reviews/2025/09/sushi-ben-review-an-uneven-slice-of-life-port/","https://checkpointgaming.net/reviews/2025/09/sushi-ben-review-an-uneven-slice-of-life-port/","https://checkpointgaming.net/reviews/2025/09/sushi-ben-review-an-uneven-slice-of-life-port/","https://checkpointgaming.net/reviews/2025/09/sushi-ben-review-an-uneven-slice-of-life-port/","https://checkpointgaming.net/reviews/2025/09/sushi-ben-review-an-uneven-slice-of-life-port/","https://checkpointgaming.net/reviews/2025/09/sushi-ben-review-an-uneven-slice-of-life-port/","https://checkpointgaming.net/reviews/2025/09/sushi-ben-review-an-uneven-slice-of-life-port/","https://checkpointgaming.net/reviews/2025/09/sushi-ben-review-an-uneven-slice-of-life-port/","https://checkpointgaming.net/reviews/2025/09/sushi-ben-review-an-uneven-slice-of-life-port/"
"home.reviews.url3","https://game8.co/articles/reviews/sushi-ben-review","https://game8.co/articles/reviews/sushi-ben-review","https://game8.co/articles/reviews/sushi-ben-review","https://game8.co/articles/reviews/sushi-ben-review","https://game8.co/articles/reviews/sushi-ben-review","https://game8.co/articles/reviews/sushi-ben-review","https://game8.co/articles/reviews/sushi-ben-review","https://game8.co/articles/reviews/sushi-ben-review","https://game8.co/articles/reviews/sushi-ben-review","https://game8.co/articles/reviews/sushi-ben-review"
"home.reviews.url4","https://www.vice.com/en/article/sushi-ben-is-the-quintessential-vr-experience-and-its-getting-a-non-vr-version-on-steam/","https://www.vice.com/en/article/sushi-ben-is-the-quintessential-vr-experience-and-its-getting-a-non-vr-version-on-steam/","https://www.vice.com/en/article/sushi-ben-is-the-quintessential-vr-experience-and-its-getting-a-non-vr-version-on-steam/","https://www.vice.com/en/article/sushi-ben-is-the-quintessential-vr-experience-and-its-getting-a-non-vr-version-on-steam/","https://www.vice.com/en/article/sushi-ben-is-the-quintessential-vr-experience-and-its-getting-a-non-vr-version-on-steam/","https://www.vice.com/en/article/sushi-ben-is-the-quintessential-vr-experience-and-its-getting-a-non-vr-version-on-steam/","https://www.vice.com/en/article/sushi-ben-is-the-quintessential-vr-experience-and-its-getting-a-non-vr-version-on-steam/","https://www.vice.com/en/article/sushi-ben-is-the-quintessential-vr-experience-and-its-getting-a-non-vr-version-on-steam/","https://www.vice.com/en/article/sushi-ben-is-the-quintessential-vr-experience-and-its-getting-a-non-vr-version-on-steam/","https://www.vice.com/en/article/sushi-ben-is-the-quintessential-vr-experience-and-its-getting-a-non-vr-version-on-steam/"
